Date,S&P 500 지수,금 가격,달러 인덱스,나스닥 100,S&P 500 ETF,QQQ ETF,러셀 2000 ETF,다우 존스 ETF,VIX 지수,닛케이 225,상해종합,항셍,영국 FTSE,독일 DAX,프랑스 CAC 40,미국 전체 채권시장 ETF,TIPS ETF,투자등급 회사채 ETF,달러/엔,달러/위안,미국 리츠 ETF,애플,마이크로소프트,아마존,구글 A,구글 C,메타,테슬라,엔비디아,코스트코,넷플릭스,페이팔,인텔,시스코,컴캐스트,펩시코,암젠,허니웰 인터내셔널,스타벅스,몬델리즈,마이크론,브로드컴,어도비,텍사스 인스트루먼트,AMD,어플라이드 머티리얼즈
2025-05-06,5606.91015625,3411.39990234375,99.23999786376953,19791.349609375,558.7999877929688,481.4100036621094,196.77000427246094,408.239990234375,24.760000228881836,,3316.114013671875,22662.7109375,8597.400390625,23249.650390625,7696.919921875,98.0199966430664,109.26000213623047,106.97000122070312,143.03500366210938,7.216300010681152,88.81999969482422,198.50999450683594,433.30999755859375,185.00999450683594,163.22999572753906,165.1999969482422,587.3099975585938,275.3500061035156,113.54000091552734,1010.5,1137.68994140625,68.05000305175781,19.940000534057617,59.220001220703125,34.4900016784668,130.74000549316406,270.44000244140625,209.92999267578125,82.77999877929688,67.51000213623047,80.51000213623047,200.08999633789062,382.9800109863281,161.08999633789062,98.62000274658203,153.02999877929688
2025-05-07,5631.27978515625,3381.39990234375,99.61000061035156,19867.970703125,561.1500244140625,483.29998779296875,197.4199981689453,411.04998779296875,23.549999237060547,36779.66015625,3342.6650390625,22691.880859375,8559.2998046875,23115.9609375,7626.83984375,98.16999816894531,109.37000274658203,107.19000244140625,143.84800720214844,7.225200176239014,88.91999816894531,196.25,433.3500061035156,188.7100067138672,151.3800048828125,152.8000030517578,596.8099975585938,276.2200012207031,117.05999755859375,1007.1500244140625,1155.4100341796875,68.69000244140625,20.309999465942383,59.56999969482422,34.38999938964844,131.9199981689453,275.8399963378906,214.61000061035156,82.70999908447266,67.18000030517578,82.62000274658203,204.80999755859375,384.9700012207031,164.7899932861328,100.36000061035156,155.80999755859375
2025-05-08,5663.93994140625,3296.60009765625,100.63999938964844,20063.560546875,565.0599975585938,488.2900085449219,201.17999267578125,413.8800048828125,22.479999542236328,36928.62890625,3351.99609375,22775.919921875,8531.599609375,23352.689453125,7694.43994140625,97.66000366210938,108.9800033569336,106.6500015258789,146.01499938964844,7.225200176239014,88.56999969482422,197.49000549316406,438.1700134277344,192.0800018310547,154.27999877929688,155.75,598.010009765625,284.82000732421875,117.37000274658203,1007.7100219726562,1144.4300537109375,70.4800033569336,21.0,59.709999084472656,34.220001220703125,131.42999267578125,272.04998779296875,214.5399932861328,82.19000244140625,67.22000122070312,85.1500015258789,207.77000427246094,383.989990234375,165.63999938964844,101.69999694824219,156.0
2025-05-09,5659.91015625,3335.39990234375,100.33999633789062,20061.44921875,564.3400268554688,487.9700012207031,200.80999755859375,412.4200134277344,21.899999618530273,37503.328125,3341.9990234375,22867.740234375,8554.7998046875,23499.3203125,7743.75,97.76000213623047,109.08000183105469,106.61000061035156,,,89.16000366210938,198.52999877929688,438.7300109863281,193.05999755859375,152.75,154.3800048828125,592.489990234375,298.260009765625,116.6500015258789,1008.0900268554688,1140.219970703125,70.26000213623047,21.420000076293945,59.77000045776367,34.25,130.44000244140625,265.8599853515625,213.02999877929688,80.30000305175781,66.37000274658203,85.86000061035156,208.1999969482422,383.2799987792969,172.27000427246094,102.83999633789062,155.61000061035156
2025-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-11,,,,,,,,,,,,,,,,,,,145.81199645996094,7.236299991607666,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12,5844.18994140625,3220.0,101.79000091552734,20868.150390625,582.989990234375,507.8500061035156,207.8699951171875,424.2300109863281,18.389999389648438,37644.26171875,3369.2451171875,23549.4609375,8605.0,23566.5390625,7850.10009765625,97.43000030517578,108.2300033569336,106.58999633789062,148.30999755859375,7.2017998695373535,89.5999984741211,210.7899932861328,449.260009765625,208.63999938964844,158.4600067138672,159.5800018310547,639.4299926757812,318.3800048828125,123.0,1016.1500244140625,1110.0,72.30999755859375,22.18000030517578,61.66999816894531,34.720001220703125,131.67999267578125,274.760009765625,219.33999633789062,85.66999816894531,65.83000183105469,92.29000091552734,221.5800018310547,395.94000244140625,187.27999877929688,108.12000274658203,167.99000549316406
2025-05-13,5886.5498046875,3240.300048828125,101.0,21197.69921875,586.8400268554688,515.5900268554688,208.6300048828125,421.510009765625,18.219999313354492,38183.26171875,3374.87109375,23108.26953125,8602.900390625,23638.560546875,7873.830078125,97.33000183105469,108.48999786376953,106.68000030517578,147.5279998779297,7.205699920654297,88.45999908447266,212.92999267578125,449.1400146484375,211.3699951171875,159.52999877929688,160.88999938964844,656.030029296875,334.07000732421875,129.92999267578125,999.030029296875,1138.43994140625,72.29000091552734,22.559999465942383,61.779998779296875,34.790000915527344,130.30999755859375,270.45001220703125,218.22000122070312,86.87999725341797,64.13999938964844,96.93000030517578,232.4199981689453,397.3999938964844,188.1999969482422,112.45999908447266,173.02999877929688
2025-05-14,5892.580078125,3181.39990234375,101.04000091552734,21319.2109375,587.5900268554688,518.6799926757812,206.77999877929688,420.54998779296875,18.6200008392334,38128.12890625,3403.947998046875,23640.650390625,8585.0,23527.009765625,7836.7900390625,97.05000305175781,108.37999725341797,106.13999938964844,146.64999389648438,7.205699920654297,87.58999633789062,212.3300018310547,452.94000244140625,210.25,165.3699951171875,166.80999755859375,659.3599853515625,347.67999267578125,135.33999633789062,991.5399780273438,1150.989990234375,72.68000030517578,21.520000457763672,61.290000915527344,34.560001373291016,128.4499969482422,262.2799987792969,217.17999267578125,86.54000091552734,63.540000915527344,95.31999969482422,232.1199951171875,399.4700012207031,187.33999633789062,117.72000122070312,174.13999938964844
2025-05-15,5916.93017578125,3220.699951171875,100.87999725341797,21335.8203125,590.4600219726562,519.25,208.1300048828125,423.4800109863281,17.829999923706055,37755.51171875,3380.821044921875,23453.16015625,8633.7998046875,23695.58984375,7853.47021484375,97.5999984741211,108.69000244140625,106.9000015258789,145.61300659179688,7.206500053405762,89.19000244140625,211.4499969482422,453.1300048828125,205.1699981689453,163.9600067138672,165.39999389648438,643.8800048828125,342.82000732421875,134.8300018310547,1010.469970703125,1177.97998046875,71.56999969482422,21.549999237060547,64.26000213623047,35.33000183105469,131.5,271.69000244140625,222.2899932861328,87.26000213623047,65.13999938964844,95.44999694824219,232.63999938964844,404.69000244140625,187.8300018310547,114.98999786376953,174.75
2025-05-16,5958.3798828125,3205.300048828125,100.97699737548828,21427.939453125,594.2000122070312,521.510009765625,209.85000610351562,426.54998779296875,17.239999771118164,37753.71875,3367.4619140625,23345.05078125,8684.599609375,23767.4296875,7886.68994140625,97.66000366210938,108.87999725341797,107.0999984741211,145.58099365234375,7.208499908447266,90.30000305175781,211.25999450683594,454.2699890136719,205.58999633789062,166.19000244140625,167.42999267578125,640.3400268554688,349.9800109863281,135.39999389648438,1025.8299560546875,1191.530029296875,72.18000030517578,21.65999984741211,63.619998931884766,35.47999954223633,131.97999572753906,272.4100036621094,222.8800048828125,85.56999969482422,65.31999969482422,98.0,228.61000061035156,417.1300048828125,188.5,117.16999816894531,165.57000732421875
